"","Name","Grade","Area","Country","First.Ascensionist","FA.date","Climber","Date","Style","Note","Source"
"131","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Alexander Megos","2014-07","Redpoint","",""
"132","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Adam Ondra","2014-07-23","Redpoint","",""
"133","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Sachi Amma","2014-08","Redpoint","",""
"134","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Stefano Ghisolfi","2015-06-21","Redpoint","",""
"135","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Jon Cardwell","2016-05-25","Redpoint","",""
"136","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Sean Bailey","2016-08-03","Redpoint","",""
"137","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Margo Hayes","2017-09-24","Redpoint","",""
"138","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Piotr Schab","2018-06-09","Redpoint","",""
"139","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Stefano Carnati","2018-09-21","Redpoint","",""
"140","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Jorge Díaz-Rullo","2019-07-13","Redpoint","",""
"141","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Sébastien Bouin","2020-06-13","Redpoint","",""
"142","Black Bock","9a+","Cuenca","Spain","Luis Alfonso Felix","2011-12-02","Luis Alfonso Felix","2011-12-02","Redpoint","",""
"143","Catxasa","9a+","Santa Linya","Spain","Chris Sharma","2011-01-13","Chris Sharma","2011-01-13","Redpoint","",""
"144","Catxasa","9a+","Santa Linya","Spain","Chris Sharma","2011-01-13","Ramón Julián Puigblanqué","2012-06","Redpoint","",""
"145","Catxasa","9a+","Santa Linya","Spain","Chris Sharma","2011-01-13","Sachi Amma","2015-02-15","Redpoint","",""
"146","Catxasa","9a+","Santa Linya","Spain","Chris Sharma","2011-01-13","Jakob Schubert","2018-01-09","Redpoint","",""
"147","Catxasa","9a+","Santa Linya","Spain","Chris Sharma","2011-01-13","Piotr Schab","2018-04-09","Redpoint","",""
"148","Catxasa","9a+","Santa Linya","Spain","Chris Sharma","2011-01-13","Jakub Konecny","2018-12-31","Redpoint","",""
"149","Catxasa","9a+","Santa Linya","Spain","Chris Sharma","2011-01-13","Adam Ondra","2019-02-08","Redpoint","",""
"150","Catxasa","9a+","Santa Linya","Spain","Chris Sharma","2011-01-13","Sébastien Bouin","2020-02-09","Redpoint","Says 9a with knee-pads. Edu Marin agrees",""
"151","Celedon","9a+","Ilarduia","Spain","Iker Pou","2012-09-21","Iker Pou","2012-09-21","Redpoint","",""
"152","Celedon","9a+","Ilarduia","Spain","Iker Pou","2012-09-21","David Gambús","2012-10-29","Redpoint","",""
"153","Chaxi","9a+","Oliana","Spain","Adam Ondra","2011-03","Adam Ondra","2011-03","Redpoint","",""
"154","Chaxi","9a+","Oliana","Spain","Adam Ondra","2011-03","Chris Sharma","2011-05-07","Redpoint","",""
"155","Chaxi","9a+","Oliana","Spain","Adam Ondra","2011-03","Cédric Lachat","2013-01-16","Redpoint","",""
"156","Chaxi","9a+","Oliana","Spain","Adam Ondra","2011-03","Jonathan Siegrist","2017-04-26","Redpoint","",""
"157","Chilam Balam","9a+","Villanueva del Rosario","Spain","Bernabé Fernández","2003","Bernabé Fernández","2003","Redpoint","Claimed at 9b+. Widely disbelieved FA with mystery belayer.",""
"158","Chilam Balam","9a+","Villanueva del Rosario","Spain","Bernabé Fernández","2003","Adam Ondra","2011-04-13","Redpoint","Downgrade to 9a+/b",""
"159","Chilam Balam","9a+","Villanueva del Rosario","Spain","Bernabé Fernández","2003","Sébastien Bouin","2015-05-28","Redpoint","Says hard 9a+ or easy 9b",""
"160","Chilam Balam","9a+","Villanueva del Rosario","Spain","Bernabé Fernández","2003","Dani Andrada","2015-11","Redpoint","Agrees on 9a+ or b",""
"161","Chilam Balam","9a+","Villanueva del Rosario","Spain","Bernabé Fernández","2003","Edu Marin","2015-11","Redpoint","agrees on 9a+",""
"162","Chilam Balam","9a+","Villanueva del Rosario","Spain","Bernabé Fernández","2003","Sindre Sæther","2019-12-01","Redpoint","",""
"163","Clash of the Titans","9a+","Götterwandl","Austria","Alexander Megos","2017-06-18","Alexander Megos","2017-06-18","Redpoint","",""
"164","Classified","9a+","Frankenjura","Germany","Alexander Megos","2013-04","Alexander Megos","2013-04","Redpoint","",""
"165","Companion of Change","9a+","Zillertal","Austria","Jakob Schubert","2015-11-18","Jakob Schubert","2015-11-18","Redpoint","",""
"166","Companion of Change","9a+","Zillertal","Austria","Jakob Schubert","2015-11-18","Alexander Megos","2017-06","Redpoint","",""
"167","Corona","9a+","Frankenjura","Germany","Markus Bock","2006","Markus Bock","2006","Redpoint","",""
"168","Corona","9a+","Frankenjura","Germany","Markus Bock","2006","Adam Ondra","2009-06-08","Redpoint","",""
"169","Corona","9a+","Frankenjura","Germany","Markus Bock","2006","Alexander Megos","2013-05-13","Redpoint","",""
"170","Corona","9a+","Frankenjura","Germany","Markus Bock","2006","Felix Neumärker","2014-03-21","Redpoint","",""
"171","Corona","9a+","Frankenjura","Germany","Markus Bock","2006","Daniel Jung","2016-10-23","Redpoint","",""
"172","Corona","9a+","Frankenjura","Germany","Markus Bock","2006","Dai Koyamada","2016-10-28","Redpoint","",""
"173","Czech Trip","9a+","Mavrovo","Macedonia","Adam Ondra","2018-12-19","Adam Ondra","2018-12-19","Redpoint","",""
"174","Deep Spot","9a+","La Balme de Yenne","France","Mathieu Bouyoud","2015-08-08","Mathieu Bouyoud","2015-08-08","Redpoint","",""
"175","Demencia Senil","9a+","Margalef","Spain","Chris Sharma","2009-02","Chris Sharma","2009-02","Redpoint","",""
"176","Demencia Senil","9a+","Margalef","Spain","Chris Sharma","2009-02","Iker Pou","2010","Redpoint","",""
"177","Demencia Senil","9a+","Margalef","Spain","Chris Sharma","2009-02","Ramón Julián Puigblanqué","2010-10-12","Redpoint","",""
"178","Demencia Senil","9a+","Margalef","Spain","Chris Sharma","2009-02","Stefano Ghisolfi","2015-03-14","Redpoint","",""
"179","Demencia Senil","9a+","Margalef","Spain","Chris Sharma","2009-02","Stefano Carnati","2019-12-22","Redpoint","",""
"180","Der Lange Atem","9a+","Höllental","Austria","Arthur Kubista","2009-10-31","Arthur Kubista","2009-10-31","Redpoint","",""
"181","Dugi Rat","9a+","Vrulja","Croatia","Jernej Kruder","2018-12-31","Jernej Kruder","2018-12-31","Redpoint","",""
"182","Empreintes","9a+","Saint Pierre de Faucigny","France","Fred Rouhling","2008","Fred Rouhling","2008","Redpoint","",""
"183","Energia Cosmica","9a+","Bilico","Italy","Alessandro Zeni","2018-11","Alessandro Zeni","2018-11","Redpoint","",""
"184","Es Pontas","9a+","Majorque","Spain","Chris Sharma","2006","Chris Sharma","2006","Redpoint","DWS",""
"185","Es Pontas","9a+","Majorque","Spain","Chris Sharma","2006","Jernej Kruder","2016-11-01","Redpoint","DWS",""
"186","Es Pontas","9a+","Majorque","Spain","Chris Sharma","2006","Jan Hojer","2018-10","Redpoint","DWS",""
"187","First Ley","9a+","Margalef","Spain","Chris Sharma","2010-03-02","Chris Sharma","2010-03-02","Redpoint","",""
"188","First Ley","9a+","Margalef","Spain","Chris Sharma","2010-03-02","Alexander Megos","2016-01-01","Redpoint","",""
"189","First Ley","9a+","Margalef","Spain","Chris Sharma","2010-03-02","Mateusz Haladaj","2016-03-31","Redpoint","",""
"190","First Ley","9a+","Margalef","Spain","Chris Sharma","2010-03-02","Stefano Ghisolfi","2017-01-12","Redpoint","",""
"191","First Ley","9a+","Margalef","Spain","Chris Sharma","2010-03-02","Daniel Woods","2018-03-12","Redpoint","",""
"192","First Ley","9a+","Margalef","Spain","Chris Sharma","2010-03-02","Shawn Raboutou","2018-04-30","Redpoint","",""
"193","Flat Mountain","9a+","Fugato","Japan","Yuji Hirayama","2003-03","Yuji Hirayama","2003-03","Redpoint","",""
"194","Flat Mountain","9a+","Fugato","Japan","Yuji Hirayama","2003-03","Toru Nakajima","2012-12","Redpoint","",""
